,Taste Preferences,Do you have diabetes?,BMI,Recommended Package,FoodType.Egg,FoodType.NonVegetarian,FoodType.Seafood,FoodType.Vegan,FoodType.Vegetarian,Allergies.Corn,Allergies.Eggs,Allergies.Fish,Allergies.Gelatin,Allergies.Groundnut,Allergies.Peanuts,Allergies.Soy,Allergies.Wheat,Allergies.Milk,Allergies.None,Allergies.Prawns,Likes.Chinese,Likes.Lebanese,Likes.Maharashtrian,Likes.Punjabi,Likes.Western,Likes.None,Likes.Thai
133,Spicy,No,17.0940170940171,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
134,Spicy,No,17.0940170940171,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
135,None,No,22.0710778793748,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
136,Medium-Spicy,No,22.857142857142897,Chinese-Normal,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
137,Spicy,No,21.484375,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
138,Medium-Spicy,No,26.9896193771626,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
139,Medium-Spicy,No,14.5328719723183,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
140,Spicy,No,26.2222222222222,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
141,Medium-Spicy,Yes,23.309053069719,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
142,None,No,25.6745191658033,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
143,Medium-Spicy,No,23.0,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
144,Spicy,No,32.2493953238377,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
145,Medium-Spicy,No,19.4330132601738,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
146,Spicy,No,19.834710743801697,Maharashtrian-Nor,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
147,Spicy,No,24.9770431588613,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
148,Spicy,No,27.3099681383705,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
149,Spicy,No,22.9719382009819,Thai-Veg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
150,Medium-Spicy,No,19.6051919956733,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
151,Medium-Spicy,No,18.3654729109275,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
152,Medium-Spicy,No,23.9590942293645,Thai-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
153,Medium-Spicy,No,25.390625,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
154,Medium-Spicy,No,24.005486968449897,Maharashtrian-Vegetarian,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
155,Spicy,No,24.382372978593697,Maharashtrian-Vegetarian,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
156,Medium-Spicy,No,20.0,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
157,Spicy,No,30.629250934642602,BMI-Low,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
158,Medium-Spicy,No,22.2222222222222,Punjabi-Vegetarian,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,Medium-Spicy,No,23.9389897746315,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
160,Medium-Spicy,No,24.8590735618501,Thai-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
161,Medium-Spicy,No,19.1989603024575,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
162,Medium-Spicy,No,30.3193310186317,BMI-Low,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
163,Bland,No,27.7777777777778,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
164,Spicy,No,24.8015873015873,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
165,Medium-Spicy,No,29.7842710068777,BMI-Low,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
166,Spicy,No,33.673469387755105,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
167,Medium-Spicy,No,19.486961451247197,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
168,Spicy,No,21.224489795918398,Maharashtrian-Vegetarian,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
169,Bland,No,31.1950948402596,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
170,Spicy,No,25.7370814149675,Chinese-Normal,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
171,Medium-Spicy,No,19.789970953429698,Western-Veg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,Medium-Spicy,No,20.0,Western-Veg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
173,Spicy,No,22.0243225126879,Maharashtrian-Vegetarian,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
174,Medium-Spicy,Yes,23.7386621315193,Punjabi-Vegan,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
175,Medium-Spicy,No,31.179138321995502,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
176,Medium-Spicy,No,26.953125,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
177,Bland,No,26.2222222222222,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
178,Medium-Spicy,No,27.3909185602407,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
179,Bland,No,27.757487216946696,BMI-Low,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
180,Medium-Spicy,No,26.8135904499541,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
181,Bland,No,20.371208691715697,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
182,Bland,No,29.296875,BMI-Low,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
183,Medium-Spicy,No,21.484375,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
184,Medium-Spicy,No,23.9512265931195,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
185,Bland,No,23.4375,Chinese-Vegan,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
186,Spicy,No,22.662708672476,Maharashtrian-Nor,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
187,Medium-Spicy,No,23.8754325259516,Punjabi-Vegan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
188,Bland,No,17.578125,BMI-High,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
189,Bland,No,17.674536043428898,BMI-High,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
190,Medium-Spicy,No,26.7094017094017,BMI-Low,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
191,Spicy,No,24.382372978593697,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
192,Medium-Spicy,No,22.4058769513315,Chinese-Vegetarian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
193,Spicy,No,20.8611196607503,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
